Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2017-04-03,2017-Q2,5.05,0.63125,,,
2017-04-04,2017-Q2,5.05,0.63125,,,
2017-04-05,2017-Q2,5.25,0.65625,,,
2017-04-06,2017-Q2,5.2,0.65,,,
2017-04-07,2017-Q2,5.1,0.6375,,,
2017-04-10,2017-Q2,5.15,0.64375,,,
2017-04-11,2017-Q2,5.2,0.65,,,
2017-04-12,2017-Q2,5.3,0.6625,,,
2017-04-13,2017-Q2,5.15,0.64375,,,
2017-04-14,2017-Q2,5.15,0.64375,,,
2017-04-17,2017-Q2,5.4,0.675,,,
2017-04-18,2017-Q2,5.3,0.6625,,,
2017-04-19,2017-Q2,5.4,0.675,,,
2017-04-20,2017-Q2,5.35,0.66875,,,
2017-04-21,2017-Q2,5.4,0.675,,,
2017-04-24,2017-Q2,5.3,0.6625,,,
2017-04-25,2017-Q2,5.3,0.6625,,,
2017-04-26,2017-Q2,5.15,0.64375,,,
2017-04-27,2017-Q2,5.15,0.64375,,,
2017-04-28,2017-Q2,5.15,0.64375,,,
2017-05-01,2017-Q2,5.15,0.64375,,,
2017-05-02,2017-Q2,5.1,0.6375,,,
2017-05-03,2017-Q2,5.0,0.625,,,
2017-05-04,2017-Q2,5.1,0.6375,,,
2017-05-05,2017-Q2,5.0,0.625,,,
2017-05-08,2017-Q2,4.95,0.61875,,,
2017-05-09,2017-Q2,4.95,0.61875,,,
2017-05-10,2017-Q2,5.1,0.6375,,,
2017-05-11,2017-Q2,4.9,0.6125,,,
2017-05-12,2017-Q2,4.8,0.6,,,
2017-05-15,2017-Q2,4.9,0.6125,,,
2017-05-16,2017-Q2,5.05,0.63125,,,
2017-05-17,2017-Q2,5.0,0.625,,,
2017-05-18,2017-Q2,4.9,0.6125,,,
2017-05-19,2017-Q2,4.8,0.6,,,
2017-05-22,2017-Q2,4.7,0.5875,,,
2017-05-23,2017-Q2,4.5,0.5625,,,
2017-05-24,2017-Q2,4.25,0.53125,,,
2017-05-25,2017-Q2,4.45,0.55625,,,
2017-05-26,2017-Q2,4.5,0.5625,,,
2017-05-29,2017-Q2,4.25,0.53125,,,
2017-05-30,2017-Q2,4.15,0.51875,,,
2017-05-31,2017-Q2,4.85,0.60625,,,
2017-06-01,2017-Q2,4.55,,,,
2017-06-02,2017-Q2,4.7,,,,
2017-06-05,2017-Q2,4.7,,,,
2017-06-06,2017-Q2,4.55,,,,
2017-06-07,2017-Q2,4.55,,,,
2017-06-08,2017-Q2,4.55,,,,
2017-06-09,2017-Q2,4.55,,,,
2017-06-12,2017-Q2,4.5,,,,
2017-06-13,2017-Q2,4.45,,,,
2017-06-14,2017-Q2,4.4,,,,
2017-06-15,2017-Q2,4.35,,,,
2017-06-16,2017-Q2,4.3,,,,
2017-06-19,2017-Q2,4.25,,,,
2017-06-20,2017-Q2,4.15,,,,
2017-06-21,2017-Q2,4.15,,,,
2017-06-22,2017-Q2,4.15,,,,
2017-06-23,2017-Q2,4.15,,,,
2017-06-26,2017-Q2,4.15,,,,
2017-06-27,2017-Q2,4.05,,,,
2017-06-28,2017-Q2,4.1,,,,
2017-06-29,2017-Q2,4.3,,,,
2017-06-30,2017-Q2,4.65,,,,
2017-07-03,2017-Q3,4.5,,,,
2017-07-04,2017-Q3,4.35,,,,
2017-07-05,2017-Q3,4.4,,,,
2017-07-06,2017-Q3,4.45,,,,
2017-07-07,2017-Q3,5.15,,,,
2017-07-10,2017-Q3,5.05,,,,
2017-07-11,2017-Q3,4.9,,,,
2017-07-12,2017-Q3,4.7,,,,
2017-07-13,2017-Q3,4.6,,,,
2017-07-14,2017-Q3,4.65,,,,
2017-07-17,2017-Q3,4.95,,,,
2017-07-18,2017-Q3,4.75,,,,
2017-07-19,2017-Q3,4.75,,,,
2017-07-20,2017-Q3,4.7,,,,
2017-07-21,2017-Q3,5.15,,,,
2017-07-24,2017-Q3,5.15,,,,
2017-07-25,2017-Q3,5.45,,,,
2017-07-26,2017-Q3,6.5,,,,
2017-07-27,2017-Q3,6.55,,,,
2017-07-28,2017-Q3,7.2,,,,
2017-07-31,2017-Q3,6.8,,,,
2017-08-01,2017-Q3,6.5,,,,
2017-08-02,2017-Q3,6.2,,,,
2017-08-03,2017-Q3,5.8,,,,
2017-08-04,2017-Q3,6.3,,,,
2017-08-07,2017-Q3,6.3,,,,
2017-08-08,2017-Q3,5.85,,,,
2017-08-09,2017-Q3,5.7,,,,
2017-08-10,2017-Q3,5.4,,,,
2017-08-11,2017-Q3,5.25,,,,
2017-08-14,2017-Q3,5.2,,,,
2017-08-15,2017-Q3,5.2,,,,
2017-08-16,2017-Q3,5.2,,,,
2017-08-17,2017-Q3,5.2,,,,
2017-08-18,2017-Q3,5.1,,,,
2017-08-21,2017-Q3,4.95,,,,
2017-08-22,2017-Q3,4.95,,,,
2017-08-23,2017-Q3,4.9,,,,
2017-08-24,2017-Q3,4.95,,,,
2017-08-25,2017-Q3,4.95,,,,
2017-08-28,2017-Q3,5.0,,,,
2017-08-29,2017-Q3,4.35,,,,
2017-08-30,2017-Q3,4.35,,,,
2017-08-31,2017-Q3,4.4,,,,
2017-09-01,2017-Q3,4.4,,,,
2017-09-04,2017-Q3,4.35,,,,
2017-09-05,2017-Q3,4.4,,,,
2017-09-06,2017-Q3,4.5,,,,
2017-09-07,2017-Q3,4.65,,,,
2017-09-08,2017-Q3,4.6,,,,
2017-09-11,2017-Q3,4.5,,,,
2017-09-12,2017-Q3,4.6,,,,
2017-09-13,2017-Q3,4.55,,,,
2017-09-14,2017-Q3,4.55,,,,
2017-09-15,2017-Q3,4.45,,,,
2017-09-18,2017-Q3,4.4,,,,
2017-09-19,2017-Q3,4.4,,,,
2017-09-20,2017-Q3,4.45,,,,
2017-09-21,2017-Q3,4.45,,,,
2017-09-22,2017-Q3,4.35,,,,
2017-09-25,2017-Q3,4.2,,,,
2017-09-26,2017-Q3,4.25,,,,
2017-09-27,2017-Q3,4.15,,,,
2017-09-28,2017-Q3,4.15,,,,
2017-09-29,2017-Q3,4.15,,,,
2017-10-02,2017-Q4,4.15,,,,
2017-10-03,2017-Q4,4.15,,,,
2017-10-04,2017-Q4,4.1,,,,
2017-10-05,2017-Q4,4.1,,,,
2017-10-06,2017-Q4,4.15,,,,
2017-10-09,2017-Q4,4.2,,,,
2017-10-10,2017-Q4,4.45,,,,
2017-10-11,2017-Q4,4.2,,,,
2017-10-12,2017-Q4,4.25,,,,
2017-10-13,2017-Q4,4.25,,,,
2017-10-16,2017-Q4,4.25,,,,
2017-10-17,2017-Q4,4.2,,,,
2017-10-18,2017-Q4,4.15,,,,
2017-10-19,2017-Q4,4.25,,,,
2017-10-20,2017-Q4,4.25,,,,
2017-10-23,2017-Q4,4.2,,,,
2017-10-24,2017-Q4,4.2,,,,
2017-10-25,2017-Q4,4.4,,,,
2017-10-26,2017-Q4,4.55,,,,
2017-10-27,2017-Q4,4.5,,,,
2017-10-30,2017-Q4,4.55,,,,
2017-10-31,2017-Q4,4.5,,,,
2017-11-01,2017-Q4,4.5,,,,
2017-11-02,2017-Q4,4.4,,,,
2017-11-03,2017-Q4,5.25,,,,
2017-11-06,2017-Q4,5.0,,,,
2017-11-07,2017-Q4,4.7,,,,
2017-11-08,2017-Q4,4.9,,,,
2017-11-09,2017-Q4,4.85,,,,
2017-11-10,2017-Q4,4.85,,,,
2017-11-13,2017-Q4,4.6,,,,
2017-11-14,2017-Q4,4.5,,,,
2017-11-15,2017-Q4,4.25,,,,
2017-11-16,2017-Q4,4.3,,,,
2017-11-17,2017-Q4,4.35,,,,
2017-11-20,2017-Q4,4.55,,,,
2017-11-21,2017-Q4,4.4,,,,
2017-11-22,2017-Q4,4.25,,,,
2017-11-23,2017-Q4,4.25,,,,
2017-11-24,2017-Q4,4.3,,,,
2017-11-27,2017-Q4,4.25,,,,
2017-11-28,2017-Q4,4.3,,,,
2017-11-29,2017-Q4,4.3,,,,
2017-11-30,2017-Q4,4.3,,,,
2017-12-01,2017-Q4,4.3,,,,
2017-12-04,2017-Q4,4.3,,,,
2017-12-05,2017-Q4,4.25,,,,
2017-12-06,2017-Q4,4.25,,,,
2017-12-07,2017-Q4,4.25,,,,
2017-12-08,2017-Q4,4.45,,,,
2017-12-11,2017-Q4,4.3,,,,
2017-12-12,2017-Q4,4.45,,,,
2017-12-13,2017-Q4,4.2,,,,
2017-12-14,2017-Q4,4.25,,,,
2017-12-15,2017-Q4,4.15,,,,
2017-12-18,2017-Q4,4.15,,,,
2017-12-19,2017-Q4,4.15,,,,
2017-12-20,2017-Q4,4.2,,,,
2017-12-21,2017-Q4,5.0,,,,
2017-12-22,2017-Q4,5.4,,,,
2017-12-25,2017-Q4,5.4,,,,
2017-12-26,2017-Q4,5.15,,,,
2017-12-27,2017-Q4,5.2,,,,
2017-12-28,2017-Q4,5.4,,,,
2017-12-29,2017-Q4,5.95,,,,
2018-01-01,2018-Q1,6.95,,,,
2018-01-02,2018-Q1,7.3,,,,
2018-01-03,2018-Q1,6.9,,,,
2018-01-04,2018-Q1,6.6,,,,
2018-01-05,2018-Q1,6.3,,,,
2018-01-08,2018-Q1,6.35,,,,
2018-01-09,2018-Q1,6.1,,,,
2018-01-10,2018-Q1,5.85,,,,
2018-01-11,2018-Q1,6.1,,,,
2018-01-12,2018-Q1,6.4,,,,
2018-01-15,2018-Q1,6.7,,,,
2018-01-16,2018-Q1,6.4,,,,
2018-01-17,2018-Q1,6.3,,,,
2018-01-18,2018-Q1,6.0,,,,
2018-01-19,2018-Q1,5.85,,,,
2018-01-22,2018-Q1,5.7,,,,
2018-01-23,2018-Q1,5.5,,,,
2018-01-24,2018-Q1,5.25,,,,
2018-01-25,2018-Q1,5.3,,,,
2018-01-26,2018-Q1,5.3,,,,
2018-01-29,2018-Q1,5.4,,,,
2018-01-30,2018-Q1,5.35,,,,
2018-01-31,2018-Q1,5.3,,,,
2018-02-01,2018-Q1,5.3,,,,
2018-02-02,2018-Q1,5.05,,,,
2018-02-05,2018-Q1,4.8,,,,
2018-02-06,2018-Q1,4.6,,,,
2018-02-07,2018-Q1,4.8,,,,
2018-02-08,2018-Q1,5.0,,,,
2018-02-09,2018-Q1,4.95,,,,
2018-02-12,2018-Q1,4.9,,,,
2018-02-13,2018-Q1,4.9,,,,
2018-02-14,2018-Q1,4.9,,,,
2018-02-15,2018-Q1,4.85,,,,
2018-02-16,2018-Q1,4.7,,,,
2018-02-19,2018-Q1,4.5,,,,
2018-02-20,2018-Q1,4.45,,,,
2018-02-21,2018-Q1,4.55,,,,
2018-02-22,2018-Q1,4.5,,,,
2018-02-23,2018-Q1,4.55,,,,
2018-02-26,2018-Q1,4.45,,,,
2018-02-27,2018-Q1,4.4,,,,
2018-02-28,2018-Q1,4.45,,,,
2018-03-01,2018-Q1,4.45,,,,
2018-03-02,2018-Q1,4.45,,,,
2018-03-05,2018-Q1,4.3,,,,
2018-03-06,2018-Q1,4.1,,,,
2018-03-07,2018-Q1,4.0,,,,
2018-03-08,2018-Q1,4.1,,,,
2018-03-09,2018-Q1,3.9,,,,
2018-03-12,2018-Q1,3.75,,,,
2018-03-13,2018-Q1,3.85,,,,
2018-03-14,2018-Q1,3.8,,,,
2018-03-15,2018-Q1,3.7,,,,
2018-03-16,2018-Q1,3.75,,,,
2018-03-19,2018-Q1,3.65,,,,
2018-03-20,2018-Q1,3.6,,,,
2018-03-21,2018-Q1,3.55,,,,
2018-03-22,2018-Q1,3.55,,,,
2018-03-23,2018-Q1,3.4,,,,
2018-03-26,2018-Q1,3.25,,,,
2018-03-27,2018-Q1,3.1,,,,
2018-03-28,2018-Q1,3.0,,,,
2018-03-29,2018-Q1,3.0,,,,
2018-03-30,2018-Q1,3.0,,,,
2018-04-02,2018-Q2,3.15,,,,
2018-04-03,2018-Q2,3.3,,,,
2018-04-04,2018-Q2,3.45,,,,
2018-04-05,2018-Q2,3.6,,,,
2018-04-06,2018-Q2,3.95,,,,
2018-04-09,2018-Q2,4.1,,,,
2018-04-10,2018-Q2,4.1,,,,
2018-04-11,2018-Q2,4.05,,,,
2018-04-12,2018-Q2,3.85,,,,
2018-04-13,2018-Q2,3.75,,,,
2018-04-16,2018-Q2,3.65,,,,
2018-04-17,2018-Q2,3.75,,,,
2018-04-18,2018-Q2,3.65,,,,
2018-04-19,2018-Q2,3.6,,,,
2018-04-20,2018-Q2,3.6,,,,
2018-04-23,2018-Q2,3.4,,,,
2018-04-24,2018-Q2,3.4,,,,
2018-04-25,2018-Q2,3.25,,,,
2018-04-26,2018-Q2,3.4,,,,
2018-04-27,2018-Q2,3.35,,,,
2018-04-30,2018-Q2,3.25,,,,
2018-05-01,2018-Q2,3.25,,,,
2018-05-02,2018-Q2,3.3,,,,
2018-05-03,2018-Q2,3.15,,,,
2018-05-04,2018-Q2,3.2,,,,
2018-05-07,2018-Q2,3.15,,,,
2018-05-08,2018-Q2,3.25,,,,
2018-05-09,2018-Q2,3.25,,,,
2018-05-10,2018-Q2,3.15,,,,
2018-05-11,2018-Q2,3.0,,,,
2018-05-14,2018-Q2,2.95,,,,
2018-05-15,2018-Q2,2.75,,,,
2018-05-16,2018-Q2,2.55,,,,
2018-05-17,2018-Q2,2.45,,,,
2018-05-18,2018-Q2,2.35,,,,
2018-05-21,2018-Q2,2.25,,,,
2018-05-22,2018-Q2,2.15,,,,
2018-05-23,2018-Q2,2.05,,,,
2018-05-24,2018-Q2,1.95,,,,
2018-05-25,2018-Q2,2.0,,,,
2018-05-28,2018-Q2,1.9,,,,
2018-05-29,2018-Q2,1.85,,,,
2018-05-30,2018-Q2,1.8,,,,
2018-05-31,2018-Q2,1.75,,,,
2018-06-01,2018-Q2,1.7,,,,
2018-06-04,2018-Q2,1.65,,,,
2018-06-05,2018-Q2,1.6,,,,
2018-06-06,2018-Q2,1.55,,,,
2018-06-07,2018-Q2,1.5,,,,
2018-06-08,2018-Q2,1.45,,,,
2018-06-11,2018-Q2,1.4,,,,
2018-06-12,2018-Q2,1.35,,,,
2018-06-13,2018-Q2,1.4,,,,
2018-06-14,2018-Q2,1.45,,,,
2018-06-15,2018-Q2,1.4,,,,
2018-06-18,2018-Q2,1.35,,,,
2018-06-19,2018-Q2,1.3,,,,
2018-06-20,2018-Q2,1.35,,,,
2018-06-21,2018-Q2,1.35,,,,
2018-06-22,2018-Q2,1.4,,,,
2018-06-25,2018-Q2,1.35,,,,
2018-06-26,2018-Q2,1.3,,,,
2018-06-27,2018-Q2,1.25,,,,
2018-06-28,2018-Q2,1.3,,,,
2018-06-29,2018-Q2,1.35,,,,
2018-07-02,2018-Q3,1.4,,,,
2018-07-03,2018-Q3,1.45,,,,
2018-07-04,2018-Q3,1.5,,,,
2018-07-05,2018-Q3,1.55,,,,
2018-07-06,2018-Q3,1.6,,,,
2018-07-09,2018-Q3,1.65,,,,
2018-07-10,2018-Q3,1.7,,,,
2018-07-11,2018-Q3,1.75,,,,
2018-07-12,2018-Q3,1.8,,,,
2018-07-13,2018-Q3,1.8,,,,
2018-07-16,2018-Q3,1.75,,,,
2018-07-17,2018-Q3,1.7,,,,
2018-07-18,2018-Q3,1.65,,,,
2018-07-19,2018-Q3,1.6,,,,
2018-07-20,2018-Q3,1.55,,,,
2018-07-23,2018-Q3,1.5,,,,
2018-07-24,2018-Q3,1.45,,,,
2018-07-25,2018-Q3,1.45,,,,
2018-07-26,2018-Q3,1.4,,,,
2018-07-27,2018-Q3,1.4,,,,
2018-07-30,2018-Q3,1.4,,,,
2018-07-31,2018-Q3,1.35,,,,
2018-08-01,2018-Q3,1.4,,,,
2018-08-02,2018-Q3,1.45,,,,
2018-08-03,2018-Q3,1.5,,,,
2018-08-06,2018-Q3,1.5,,,,
2018-08-07,2018-Q3,1.45,,,,
2018-08-08,2018-Q3,1.4,,,,
2018-08-09,2018-Q3,1.45,,,,
2018-08-10,2018-Q3,1.45,,,,
2018-08-13,2018-Q3,1.4,,,,
2018-08-14,2018-Q3,1.45,,,,
2018-08-15,2018-Q3,1.45,,,,
2018-08-16,2018-Q3,1.4,,,,
2018-08-17,2018-Q3,1.4,,,,
2018-08-20,2018-Q3,1.45,,,,
2018-08-21,2018-Q3,1.4,,,,
2018-08-22,2018-Q3,1.4,,,,
2018-08-23,2018-Q3,1.35,,,,
2018-08-24,2018-Q3,1.3,,,,
2018-08-27,2018-Q3,1.3,,,,
2018-08-28,2018-Q3,1.35,,,,
2018-08-29,2018-Q3,1.3,,,,
2018-08-30,2018-Q3,1.3,,,,
2018-08-31,2018-Q3,1.3,,,,
2018-09-03,2018-Q3,1.25,,,,
2018-09-04,2018-Q3,1.25,,,,
2018-09-05,2018-Q3,1.3,,,,
2018-09-06,2018-Q3,1.3,,,,
2018-09-07,2018-Q3,1.25,,,,
2018-09-10,2018-Q3,1.25,,,,
2018-09-11,2018-Q3,1.2,,,,
2018-09-12,2018-Q3,1.15,,,,
2018-09-13,2018-Q3,1.15,,,,
2018-09-14,2018-Q3,1.15,,,,
2018-09-17,2018-Q3,1.1,,,,
2018-09-18,2018-Q3,1.05,,,,
2018-09-19,2018-Q3,1.0,,,,
2018-09-20,2018-Q3,1.0,,,,
2018-09-21,2018-Q3,1.0,,,,
2018-09-24,2018-Q3,1.0,,,,
2018-09-25,2018-Q3,1.0,,,,
2018-09-26,2018-Q3,1.0,,,,
2018-09-27,2018-Q3,1.0,,,,
2018-09-28,2018-Q3,1.0,,,,
2018-10-01,2018-Q4,1.05,,,,
2018-10-02,2018-Q4,1.05,,,,
2018-10-03,2018-Q4,1.1,,,,
2018-10-04,2018-Q4,1.15,,,,
2018-10-05,2018-Q4,1.2,,,,
2018-10-08,2018-Q4,1.25,,,,
2018-10-09,2018-Q4,1.3,,,,
2018-10-10,2018-Q4,1.25,,,,
2018-10-11,2018-Q4,1.2,,,,
2018-10-12,2018-Q4,1.25,,,,
2018-10-15,2018-Q4,1.3,,,,
2018-10-16,2018-Q4,1.35,,,,
2018-10-17,2018-Q4,1.4,,,,
2018-10-18,2018-Q4,1.4,,,,
2018-10-19,2018-Q4,1.45,,,,
2018-10-22,2018-Q4,1.4,,,,
2018-10-23,2018-Q4,1.35,,,,
2018-10-24,2018-Q4,1.3,,,,
2018-10-25,2018-Q4,1.25,,,,
2018-10-26,2018-Q4,1.2,,,,
2018-10-29,2018-Q4,1.2,,,,
2018-10-30,2018-Q4,1.25,,,,
2018-10-31,2018-Q4,1.25,,,,
2018-11-01,2018-Q4,1.25,,,,
2018-11-02,2018-Q4,1.25,,,,
2018-11-05,2018-Q4,1.3,,,,
2018-11-06,2018-Q4,1.35,,,,
2018-11-07,2018-Q4,1.4,,,,
2018-11-08,2018-Q4,1.4,,,,
2018-11-09,2018-Q4,1.4,,,,
2018-11-12,2018-Q4,1.45,,,,
2018-11-13,2018-Q4,1.4,,,,
2018-11-14,2018-Q4,1.35,,,,
2018-11-15,2018-Q4,1.35,,,,
2018-11-16,2018-Q4,1.3,,,,
2018-11-19,2018-Q4,1.25,,,,
2018-11-20,2018-Q4,1.2,,,,
2018-11-21,2018-Q4,1.15,,,,
2018-11-22,2018-Q4,1.1,,,,
2018-11-23,2018-Q4,1.1,,,,
2018-11-26,2018-Q4,1.05,,,,
2018-11-27,2018-Q4,1.0,,,,
2018-11-28,2018-Q4,0.95,,,,
2018-11-29,2018-Q4,0.9,,,,
2018-11-30,2018-Q4,0.95,,,,
2018-12-03,2018-Q4,1.0,,,,
2018-12-04,2018-Q4,1.05,,,,
2018-12-05,2018-Q4,1.05,,,,
2018-12-06,2018-Q4,1.05,,,,
2018-12-07,2018-Q4,1.05,,,,
2018-12-10,2018-Q4,1.0,,,,
2018-12-11,2018-Q4,0.95,,,,
2018-12-12,2018-Q4,1.0,,,,
2018-12-13,2018-Q4,1.05,,,,
2018-12-14,2018-Q4,1.0,,,,
2018-12-17,2018-Q4,1.0,,,,
2018-12-18,2018-Q4,1.0,,,,
2018-12-19,2018-Q4,1.05,,,,
2018-12-20,2018-Q4,1.0,,,,
2018-12-21,2018-Q4,1.0,,,,
2018-12-24,2018-Q4,1.0,,,,
2018-12-25,2018-Q4,1.0,,,,
2018-12-26,2018-Q4,1.0,,,,
2018-12-27,2018-Q4,1.0,,,,
2018-12-28,2018-Q4,1.0,,,,
2018-12-31,2018-Q4,1.0,,,,
2019-01-01,2019-Q1,1.05,,,,
2019-01-02,2019-Q1,1.05,,,,
2019-01-03,2019-Q1,1.0,,,,
2019-01-04,2019-Q1,1.05,,,,
2019-01-07,2019-Q1,1.05,,,,
2019-01-08,2019-Q1,1.0,,,,
2019-01-09,2019-Q1,1.0,,,,
2019-01-10,2019-Q1,1.0,,,,
2019-01-11,2019-Q1,1.0,,,,
2019-01-14,2019-Q1,0.95,,,,
2019-01-15,2019-Q1,1.0,,,,
2019-01-16,2019-Q1,1.0,,,,
2019-01-17,2019-Q1,0.95,,,,
2019-01-18,2019-Q1,1.0,,,,
2019-01-21,2019-Q1,1.0,,,,
2019-01-22,2019-Q1,1.0,,,,
2019-01-23,2019-Q1,1.0,,,,
2019-01-24,2019-Q1,0.95,,,,
2019-01-25,2019-Q1,0.95,,,,
2019-01-28,2019-Q1,0.9,,,,
2019-01-29,2019-Q1,0.9,,,,
2019-01-30,2019-Q1,0.9,,,,
2019-01-31,2019-Q1,0.9,,,,
2019-02-01,2019-Q1,0.9,,,,
2019-02-04,2019-Q1,0.85,,,,
2019-02-05,2019-Q1,0.8,,,,
2019-02-06,2019-Q1,0.8,,,,
2019-02-07,2019-Q1,0.8,,,,
2019-02-08,2019-Q1,0.8,,,,
2019-02-11,2019-Q1,0.75,,,,
2019-02-12,2019-Q1,0.8,,,,
2019-02-13,2019-Q1,0.75,,,,
2019-02-14,2019-Q1,0.75,,,,
2019-02-15,2019-Q1,0.75,,,,
2019-02-18,2019-Q1,0.75,,,,
2019-02-19,2019-Q1,0.7,,,,
2019-02-20,2019-Q1,0.75,,,,
2019-02-21,2019-Q1,0.8,,,,
2019-02-22,2019-Q1,0.85,,,,
2019-02-25,2019-Q1,0.9,,,,
2019-02-26,2019-Q1,0.95,,,,
2019-02-27,2019-Q1,1.0,,,,
2019-02-28,2019-Q1,0.95,,,,
2019-03-01,2019-Q1,0.9,,,,
2019-03-04,2019-Q1,0.9,,,,
2019-03-05,2019-Q1,0.9,,,,
2019-03-06,2019-Q1,0.95,,,,
2019-03-07,2019-Q1,1.0,,,,
2019-03-08,2019-Q1,1.05,,,,
2019-03-11,2019-Q1,1.0,,,,
2019-03-12,2019-Q1,1.05,,,,
2019-03-13,2019-Q1,1.0,,,,
2019-03-14,2019-Q1,0.95,,,,
2019-03-15,2019-Q1,1.0,,,,
2019-03-18,2019-Q1,1.0,,,,
2019-03-19,2019-Q1,1.0,,,,
2019-03-20,2019-Q1,0.95,,,,
2019-03-21,2019-Q1,0.95,,,,
2019-03-22,2019-Q1,0.95,,,,
2019-03-25,2019-Q1,0.9,,,,
2019-03-26,2019-Q1,0.9,,,,
2019-03-27,2019-Q1,0.85,,,,
2019-03-28,2019-Q1,0.85,,,,
2019-03-29,2019-Q1,0.8,,,,
2019-04-01,2019-Q2,0.75,,,,
2019-04-02,2019-Q2,0.75,,,,
2019-04-03,2019-Q2,0.75,,,,
2019-04-04,2019-Q2,0.75,,,,
2019-04-05,2019-Q2,0.75,,,,
2019-04-08,2019-Q2,0.75,,,,
2019-04-09,2019-Q2,0.7,,,,
2019-04-10,2019-Q2,0.75,,,,
2019-04-11,2019-Q2,0.75,,,,
2019-04-12,2019-Q2,0.75,,,,
2019-04-15,2019-Q2,0.7,,,,
2019-04-16,2019-Q2,0.7,,,,
2019-04-17,2019-Q2,0.7,,,,
2019-04-18,2019-Q2,0.75,,,,
2019-04-19,2019-Q2,0.75,,,,
2019-04-22,2019-Q2,0.75,,,,
2019-04-23,2019-Q2,0.75,,,,
2019-04-24,2019-Q2,0.75,,,,
2019-04-25,2019-Q2,0.7,,,,
2019-04-26,2019-Q2,0.7,,,,
2019-04-29,2019-Q2,0.7,,,,
2019-04-30,2019-Q2,0.65,,,,
2019-05-01,2019-Q2,0.65,,,,
2019-05-02,2019-Q2,0.6,,,,
2019-05-03,2019-Q2,0.55,,,,
2019-05-06,2019-Q2,0.5,,,,
2019-05-07,2019-Q2,0.45,,,,
2019-05-08,2019-Q2,0.4,,,,
2019-05-09,2019-Q2,0.4,,,,
2019-05-10,2019-Q2,0.45,,,,
2019-05-13,2019-Q2,0.4,,,,
2019-05-14,2019-Q2,0.45,,,,
2019-05-15,2019-Q2,0.45,,,,
2019-05-16,2019-Q2,0.45,,,,
2019-05-17,2019-Q2,0.45,,,,
2019-05-20,2019-Q2,0.5,,,,
2019-05-21,2019-Q2,0.5,,,,
2019-05-22,2019-Q2,0.5,,,,
2019-05-23,2019-Q2,0.55,,,,
2019-05-24,2019-Q2,0.6,,,,
2019-05-27,2019-Q2,0.65,,,,
2019-05-28,2019-Q2,0.7,,,,
2019-05-29,2019-Q2,0.75,,,,
2019-05-30,2019-Q2,0.8,,,,
2019-05-31,2019-Q2,0.85,,,,
2019-06-03,2019-Q2,0.9,,,,
2019-06-04,2019-Q2,0.95,,,,
2019-06-05,2019-Q2,0.95,,,,
2019-06-06,2019-Q2,1.0,,,,
2019-06-07,2019-Q2,0.95,,,,
2019-06-10,2019-Q2,0.9,,,,
2019-06-11,2019-Q2,0.85,,,,
2019-06-12,2019-Q2,0.8,,,,
2019-06-13,2019-Q2,0.75,,,,
2019-06-14,2019-Q2,0.7,,,,
2019-06-17,2019-Q2,0.65,,,,
2019-06-18,2019-Q2,0.6,,,,
2019-06-19,2019-Q2,0.65,,,,
2019-06-20,2019-Q2,0.7,,,,
2019-06-21,2019-Q2,0.75,,,,
2019-06-24,2019-Q2,0.8,,,,
2019-06-25,2019-Q2,0.75,,,,
2019-06-26,2019-Q2,0.7,,,,
2019-06-27,2019-Q2,0.75,,,,
2019-06-28,2019-Q2,0.7,,,,
2019-07-01,2019-Q3,0.7,,,,
2019-07-02,2019-Q3,0.7,,,,
2019-07-03,2019-Q3,0.65,,,,
2019-07-04,2019-Q3,0.65,,,,
2019-07-05,2019-Q3,0.7,,,,
2019-07-08,2019-Q3,0.7,,,,
2019-07-09,2019-Q3,0.75,,,,
2019-07-10,2019-Q3,0.7,,,,
2019-07-11,2019-Q3,0.7,,,,
2019-07-12,2019-Q3,0.7,,,,
2019-07-15,2019-Q3,0.65,,,,
2019-07-16,2019-Q3,0.65,,,,
2019-07-17,2019-Q3,0.65,,,,
2019-07-18,2019-Q3,0.6,,,,
2019-07-19,2019-Q3,0.6,,,,
2019-07-22,2019-Q3,0.6,,,,
2019-07-23,2019-Q3,0.6,,,,
2019-07-24,2019-Q3,0.6,,,,
2019-07-25,2019-Q3,0.6,,,,
2019-07-26,2019-Q3,0.6,,,,
2019-07-29,2019-Q3,0.55,,,,
2019-07-30,2019-Q3,0.5,,,,
2019-07-31,2019-Q3,0.45,,,,
2019-08-01,2019-Q3,0.5,,,,
2019-08-02,2019-Q3,0.5,,,,
2019-08-05,2019-Q3,0.5,,,,
2019-08-06,2019-Q3,0.5,,,,
2019-08-07,2019-Q3,0.5,,,,
2019-08-08,2019-Q3,0.5,,,,
2019-08-09,2019-Q3,0.45,,,,
2019-08-12,2019-Q3,0.45,,,,
2019-08-13,2019-Q3,0.5,,,,
2019-08-14,2019-Q3,0.5,,,,
2019-08-15,2019-Q3,0.5,,,,
2019-08-16,2019-Q3,0.45,,,,
2019-08-19,2019-Q3,0.45,,,,
2019-08-20,2019-Q3,0.45,,,,
2019-08-21,2019-Q3,0.45,,,,
2019-08-22,2019-Q3,0.4,,,,
2019-08-23,2019-Q3,0.4,,,,
2019-08-26,2019-Q3,0.4,,,,
2019-08-27,2019-Q3,0.4,,,,
